ticker,date,period_ending,estimate,reported,surprise,surprise%
AZEK,28-Nov-2022,Sep 2022,0.17,0.16,-0.01,-5.88
AZO,19-Sep-2022,Aug 2022,38.38,40.51,2.13,5.55
AZPN,26-Oct-2022,Sep 2022,1.23,2.2,0.97,78.86
AZZ,11-Oct-2022,Aug 2022,1.82,1.24,-0.58,-31.87
B,28-Oct-2022,Sep 2022,0.48,0.49,0.01,2.08
BA,26-Oct-2022,Sep 2022,-0.01,-6.18,-6.17,-61700.0
BAC,17-Oct-2022,Sep 2022,0.79,0.81,0.02,2.53
BAH,28-Oct-2022,Sep 2022,1.12,1.34,0.22,19.64
BALL,03-Nov-2022,Sep 2022,0.76,0.75,-0.01,-1.32
BALY,03-Nov-2022,Sep 2022,0.28,0.01,-0.27,-96.43
BANC,20-Oct-2022,Sep 2022,0.49,0.44,-0.05,-10.2
BAND,01-Nov-2022,Sep 2022,0.03,0.27,0.24,800.0
BANF,20-Oct-2022,Sep 2022,1.56,1.65,0.09,5.77
BANR,19-Oct-2022,Sep 2022,1.36,1.42,0.06,4.41
BASE,06-Dec-2022,Oct 2022,-0.33,-0.22,0.11,33.33
BATRK,04-Nov-2022,Sep 2022,0.16,-0.42,-0.58,-362.5
BAX,27-Oct-2022,Sep 2022,0.82,0.82,0.0,0.0
BBBY,29-Sep-2022,Aug 2022,-1.59,-3.22,-1.63,-102.52
BBIO,03-Nov-2022,Sep 2022,-1.02,-0.93,0.09,8.82
